DECISION,Acronym,What it stands for,Why we suggested that,Group,User typed the acronym,Used in a longer search,User typed the long name,First searched,Times in documents,Times in titles,In UNTERM,UNTERM says,Agrees with us,UNTERM link,Anything to watch out for,Rule to paste into documents.sr
Maybe,gdp,gross domestic product,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-09-19,1411,2,Yes,gross domestic product,Matches,https://unterm.un.org/unterm2/en/view/5ed9b727-6d9f-4df6-bc00-80eb4d4390eb,,"gdp +> ?""gross domestic product"";"
Maybe,psc,project steering committee,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-07-21,1121,,Yes,Social Christian Party,Ambiguous,https://unterm.un.org/unterm2/en/view/d6babe64-b0a0-4b2b-803c-146d1f2171a5,,"psc +> ?""project steering committee"";"
Maybe,tnc,third national communication,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-02-07,962,13,Yes,Tsunami National Contact,Ambiguous,https://unterm.un.org/unterm2/en/view/00028b3e-a261-43fc-b62e-617159ea129f,,"tnc +> ?""third national communication"";"
Maybe,eea,european environment agency,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-08-15,924,,Yes,European Economic Area,Ambiguous,https://unterm.un.org/unterm2/en/view/735fae1a-64bc-4db5-8fdd-e905b6fe4fda,,"eea +> ?""european environment agency"";"
Maybe,esmp,environmental social management plan,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-08-18,752,,No,,,,,"esmp +> ?""environmental social management plan"";"
Maybe,ldn,land degradation neutrality,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-11-23,659,2,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/c25c0a24-11bc-40bd-8076-53b30e9c6d82,,"ldn +> ?""land degradation neutrality"";"
Maybe,oda,official development assistance,only seen inside longer searches,1 - Best picks,No,Yes,No,2023-11-21,604,,Yes,Overseas Development Assistance,Ambiguous,https://unterm.un.org/unterm2/en/view/d14ef5d0-9330-4865-932d-083982334a05,"The dictionary also has ""oda"" - check it is not a word people type.","oda +> ?""official development assistance"";"
Maybe,slm,sustainable land management,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-08-05,427,2,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/fd552529-d711-423c-91c5-191b608b5fa2,,"slm +> ?""sustainable land management"";"
Maybe,cca,climate change adaptation,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-09-19,346,2,Yes,Commission for Conventional Armaments,Ambiguous,https://unterm.un.org/unterm2/en/view/dcb0ee99-5cfa-44a9-bc87-0f5f8b0117c7,,"cca +> ?""climate change adaptation"";"
Maybe,doc,degradable organic carbon,weak - the acronym is also a normal word,1 - Best picks,No,Yes,No,2026-04-07,338,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/b3bd81d7-5452-4b5d-8609-2a68c34b8168,Also an everyday English word.,"doc +> ?""degradable organic carbon"";"
Maybe,oof,other official flows,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-02-19,322,,Yes,other official flows,Matches,https://unterm.un.org/unterm2/en/view/45f542cd-2616-4f67-8f3f-2d8b8fc59a23,,"oof +> ?""other official flows"";"
Maybe,snc,second national communication,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-12-03,313,4,Yes,Supreme National Council,Ambiguous,https://unterm.un.org/unterm2/en/view/cff69967-ce6e-4891-b33d-949bbba211f7,,"snc +> ?""second national communication"";"
Maybe,mem,ministry energy mines,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-07-27,280,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/99061230-5b30-424e-8a9d-4c8a173c9984,"The dictionary also has ""mem"" - check it is not a word people type.","mem +> ?""ministry energy mines"";"
Maybe,eafrd,european agricultural fund rural development,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-09-26,271,6,No,,,,,"eafrd +> ?""european agricultural fund rural development"";"
Maybe,nfi,national forest inventory,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-02-05,267,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/eeae9545-4276-4e46-acf4-a2a422d579e4,,"nfi +> ?""national forest inventory"";"
Maybe,nen,national ecological network,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-11-15,245,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/126f74a6-2376-48e3-abfc-da5444a32ea1,,"nen +> ?""national ecological network"";"
Maybe,mef,ministry economy finance,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-09-08,242,,Yes,Malaita Eagle Force,Ambiguous,https://unterm.un.org/unterm2/en/view/06507581-7200-411a-907e-e5ad9e2c5ccf,,"mef +> ?""ministry economy finance"";"
Maybe,mme,ministry mines energy,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-02-21,227,,Yes,multinational marketing enterprises,Ambiguous,https://unterm.un.org/unterm2/en/view/e8f5052b-8aa0-4e2b-be76-8c31ce4193bf,,"mme +> ?""ministry mines energy"";"
Maybe,imf,international monetary fund,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-11-11,225,,Yes,International Monetary Fund,Matches,https://unterm.un.org/unterm2/en/view/6730df6c-8b9b-4525-a0fa-c5bcfe67bca9,,"imf +> ?""international monetary fund"";"
Maybe,nbsp,national biodiversity strategy action plan,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-09-14,207,,No,,,,,"nbsp +> ?""national biodiversity strategy action plan"";"
Maybe,ldcf,least developed countries fund,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-08-20,206,,Yes,Least Developed Countries Fund,Matches,https://unterm.un.org/unterm2/en/view/f412f3f4-7419-459f-bb06-756190aabfef,,"ldcf +> ?""least developed countries fund"";"
Maybe,eip,european innovation partnership,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-09-04,202,,Yes,estimated incident position,Ambiguous,https://unterm.un.org/unterm2/en/view/1462d32c-3ea5-47bc-96e5-56b923685f22,,"eip +> ?""european innovation partnership"";"
Maybe,iee,initial environmental examination,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-04-06,187,4,Yes,Institute of Experimental Endocrinology,Ambiguous,https://unterm.un.org/unterm2/en/view/7968df21-df03-473b-80ad-9efa35203ac8,,"iee +> ?""initial environmental examination"";"
Maybe,voc,volatile organic compounds,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-11-27,178,,Yes,volatile organic compound,Ambiguous,https://unterm.un.org/unterm2/en/view/520eac76-a8f5-42bf-9a83-286203324fd0,,"voc +> ?""volatile organic compounds"";"
Maybe,ccm,climate change mitigation,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2023-09-19,177,,Yes,country coordinating mechanism,Ambiguous,https://unterm.un.org/unterm2/en/view/7af3945b-57a5-4cc6-b30b-09a19e49af84,,"ccm +> ?""climate change mitigation"";"
Maybe,tfeu,treaty functioning european union,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-03-16,165,,No,,,,,"tfeu +> ?""treaty functioning european union"";"
Maybe,acap,agreement conservation albatrosses petrels,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-10-07,161,,Yes,Agreement on the Conservation of Albatrosses and Petrels,Matches,https://unterm.un.org/unterm2/en/view/5034e324-8072-4049-b749-f9abe3854067,,"acap +> ?""agreement conservation albatrosses petrels"";"
Maybe,sep,stakeholder engagement plan,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-02-01,156,2,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/21ed70cf-13af-4a81-939f-a51acdd40516,,"sep +> ?""stakeholder engagement plan"";"
Maybe,fws,fish wildlife service,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-10-27,152,,Yes,four-wheel-steering,Ambiguous,https://unterm.un.org/unterm2/en/view/b43eaf52-263b-41a9-a20f-19f88883e65d,,"fws +> ?""fish wildlife service"";"
Maybe,omb,office management budget,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-09-25,148,,Yes,Office of Management and Budget,Matches,https://unterm.un.org/unterm2/en/view/0f15156c-943d-4948-830c-a5ce83741e88,,"omb +> ?""office management budget"";"
Maybe,sccf,special climate change fund,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-05-20,145,,Yes,Special Climate Change Fund,Matches,https://unterm.un.org/unterm2/en/view/c3bb59d2-8167-42d5-89dc-6c293a5faa0d,,"sccf +> ?""special climate change fund"";"
Maybe,rap,resettlement action plan,"only the long name was searched, not the acronym",1 - Best picks,No,Yes,Yes,2025-08-28,134,,Yes,rights accumulation programme,Ambiguous,https://unterm.un.org/unterm2/en/view/149caa2e-aba4-4c45-a837-606a99ce74cb,Also an everyday English word.,"rap +> ?""resettlement action plan"";"
Maybe,drm,disaster risk management,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2023-09-22,134,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/b2bfefa2-2fae-4100-b737-43d146fea302,,"drm +> ?""disaster risk management"";"
Maybe,ndrrmp,national disaster risk reduction management plan,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2023-11-09,124,,No,,,,,"ndrrmp +> ?""national disaster risk reduction management plan"";"
Maybe,mwe,ministry water environment,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-02-15,123,,No,,,,,"mwe +> ?""ministry water environment"";"
Maybe,cef,connecting europe facility,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-03-02,121,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/8849f042-5019-48e1-bbef-1044c36b3d71,,"cef +> ?""connecting europe facility"";"
Maybe,ccra,climate change risk assessment,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-10-15,119,,No,,,,,"ccra +> ?""climate change risk assessment"";"
Maybe,inc,initial national communication,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-10-25,119,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/35f4e585-ddf9-44eb-850b-9bc76fa7e59c,,"inc +> ?""initial national communication"";"
Maybe,grm,grievance redress mechanism,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-08-18,118,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/506e0c1c-b4bc-4ee5-abd8-d2403f48f2e6,,"grm +> ?""grievance redress mechanism"";"
Maybe,nsc,national steering committee,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-08-04,117,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/5b88c014-561c-44ff-998b-5897f480795e,,"nsc +> ?""national steering committee"";"
Maybe,nccrs,national climate change response strategy,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-09-22,116,,Yes,National Coordinating Committee on Remote Sensing,Ambiguous,https://unterm.un.org/unterm2/en/view/ee5c2eb6-3293-45a2-adcc-389e086fa5aa,,"nccrs +> ?""national climate change response strategy"";"
Maybe,eez,exclusive economic zone,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-06-24,106,,Yes,exclusive economic zone,Matches,https://unterm.un.org/unterm2/en/view/a4be0fdb-1a92-46a5-97e0-f8ef6a5d668b,,"eez +> ?""exclusive economic zone"";"
Maybe,ods,ozone depleting substances,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-11-16,104,,Yes,Ocean Data Station,Ambiguous,https://unterm.un.org/unterm2/en/view/d8ddb55c-b32b-4fc6-8e60-4bc10a9a0874,"The dictionary also has ""ods"" - check it is not a word people type.","ods +> ?""ozone depleting substances"";"
Maybe,ber,biodiversity expenditure review,only seen inside longer searches,1 - Best picks,No,Yes,No,2023-11-07,101,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/4875c33a-9891-43c2-970e-3dde1294f5d0,"The dictionary also has ""ber"" - check it is not a word people type.","ber +> ?""biodiversity expenditure review"";"
Maybe,tac,technical advisory committee,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-02-23,100,,Yes,Technical Advisory Committee,Matches,https://unterm.un.org/unterm2/en/view/d153d000-b05c-4ce6-aa12-501161cd2d28,,"tac +> ?""technical advisory committee"";"
Maybe,cdb,caribbean development bank,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-11-13,99,,Yes,Netherlands Bureau for Economic Policy Analysis,Ambiguous,https://unterm.un.org/unterm2/en/view/1a2f3284-85cd-4bc1-bda7-e4790c073c7a,,"cdb +> ?""caribbean development bank"";"
Maybe,mat,mutually agreed terms,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-05-08,98,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/65759ce4-ce48-4e6c-84cf-94f601824d47,"The dictionary also has ""mat"" - check it is not a word people type.","mat +> ?""mutually agreed terms"";"
Maybe,npv,net present value,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-02-20,92,,Yes,net present value,Matches,https://unterm.un.org/unterm2/en/view/bde4eb60-e6d9-4731-9cb0-f4113a76e8f8,,"npv +> ?""net present value"";"
Maybe,iplc,indigenous peoples local communities,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-04-30,91,2,Yes,Indigenous Peoples Liaison Committee,Ambiguous,https://unterm.un.org/unterm2/en/view/4da66f23-de86-49d9-9697-f91af91f94ce,,"iplc +> ?""indigenous peoples local communities"";"
Maybe,sst,sea surface temperature,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-01-23,86,,Yes,Sea-Surface Temperature,Matches,https://unterm.un.org/unterm2/en/view/7455d9ef-9dc0-47b4-a4f7-46d1ba51a424,,"sst +> ?""sea surface temperature"";"
Maybe,eccc,environment climate change canada,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2023-11-14,84,,Yes,Extraordinary Chambers in the Courts of Cambodia,Ambiguous,https://unterm.un.org/unterm2/en/view/e1a835b3-a013-40ec-bffa-cb99a35d957d,,"eccc +> ?""environment climate change canada"";"
Maybe,nsdrm,national strategy disaster risk management,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2023-09-22,80,,No,,,,,"nsdrm +> ?""national strategy disaster risk management"";"
Maybe,wef,world economic forum,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-05-20,77,,Yes,World Education Forum,Ambiguous,https://unterm.un.org/unterm2/en/view/cd9feb29-9868-4ef7-a4dd-a985c5d0dba7,,"wef +> ?""world economic forum"";"
Maybe,met,ministry environment tourism,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-11-07,77,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/48773d3e-3409-4022-af26-628e46df1160,"The dictionary also has ""met"" - check it is not a word people type.","met +> ?""ministry environment tourism"";"
Maybe,eagf,european agricultural guarantee fund,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-09-26,76,6,No,,,,,"eagf +> ?""european agricultural guarantee fund"";"
Maybe,dcc,department climate change,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-02-15,76,,Yes,Decade Collaborative Centre,Ambiguous,https://unterm.un.org/unterm2/en/view/e9be4393-b678-46de-b54f-d81d54a7cdda,,"dcc +> ?""department climate change"";"
Maybe,bee,bureau energy efficiency,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-12-09,75,,Yes,Black Economic Empowerment,Ambiguous,https://unterm.un.org/unterm2/en/view/675851f5-4c52-41c7-ba66-59c8df06d746,"The dictionary also has ""bee"" - check it is not a word people type.","bee +> ?""bureau energy efficiency"";"
Maybe,clc,corine land cover,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-11-04,75,,Yes,Community Learning Centre,Ambiguous,https://unterm.un.org/unterm2/en/view/83f0abe7-86a5-489a-aecc-c7d5232b51d6,,"clc +> ?""corine land cover"";"
Maybe,irr,internal rate return,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-04-15,75,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/12ad9ea0-8898-45c4-a100-e34e881c3d92,,"irr +> ?""internal rate return"";"
Maybe,neap,national environmental action plan,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2023-09-20,73,2,Yes,National Environmental Action Plan,Matches,https://unterm.un.org/unterm2/en/view/ed92e2d4-da62-428b-9fd7-80ab93e6fe04,"The dictionary also has ""neap"" - check it is not a word people type.","neap +> ?""national environmental action plan"";"
Maybe,tsd,technical support document,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-03-30,72,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/e94b7c6e-6ec9-4bf8-99de-802a55efd300,,"tsd +> ?""technical support document"";"
Maybe,boem,bureau ocean energy management,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-12-04,72,,No,,,,,"boem +> ?""bureau ocean energy management"";"
Maybe,ncip,national crop insurance programme,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-04-15,70,,Yes,National Commission on Indigenous Peoples,Ambiguous,https://unterm.un.org/unterm2/en/view/3d7a86e1-bcbf-4465-9be9-4cc4e3b396de,,"ncip +> ?""national crop insurance programme"";"
Maybe,brt,bus rapid transit,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-04-02,69,,Yes,build-rent-transfer,Ambiguous,https://unterm.un.org/unterm2/en/view/2078e0bb-9808-4190-9d61-9ebf19cd28a2,,"brt +> ?""bus rapid transit"";"
Maybe,nasa,national aeronautics space administration,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-06-08,68,,Yes,national staff association,Ambiguous,https://unterm.un.org/unterm2/en/view/7209a345-209c-4ca3-9d6b-0b617adc8684,,"nasa +> ?""national aeronautics space administration"";"
Maybe,ida,international development association,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-11-20,67,,Yes,IDA Foundation,Ambiguous,https://unterm.un.org/unterm2/en/view/736f912a-f898-4918-b99a-3ce406e3ea60,"The dictionary also has ""ida"" - check it is not a word people type.","ida +> ?""international development association"";"
Maybe,def,department environment forests,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-08-05,67,,Yes,Development and Employment Fund,Ambiguous,https://unterm.un.org/unterm2/en/view/1b9da0cf-24b6-4562-9e1f-b50e762b81f6,,"def +> ?""department environment forests"";"
Maybe,undaf,united nations development assistance framework,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-01-26,65,2,Yes,United Nations Development Assistance Framework,Matches,https://unterm.un.org/unterm2/en/view/5327e155-16bb-41f9-83d3-a2d816812f2b,,"undaf +> ?""united nations development assistance framework"";"
Maybe,sip,state implementation plan,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-08-04,65,,Yes,spherical ion probe,Ambiguous,https://unterm.un.org/unterm2/en/view/add3ed70-584e-4d79-8d46-17e6b2dfa5af,"The dictionary also has ""sip"" - check it is not a word people type.","sip +> ?""state implementation plan"";"
Maybe,eaf,electric arc furnace,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-02-22,61,,Yes,Entity Armed Forces,Ambiguous,https://unterm.un.org/unterm2/en/view/c851dee2-7a26-46b2-9642-892a15d3a7c1,,"eaf +> ?""electric arc furnace"";"
Maybe,dilg,department interior local government,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-01-30,61,,No,,,,,"dilg +> ?""department interior local government"";"
Maybe,lucf,land use change forestry,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-10-30,60,,Yes,"land use, land-use change and forestry",Matches,https://unterm.un.org/unterm2/en/view/a054c4f7-c83d-4926-9d22-448544d4e0ad,,"lucf +> ?""land use change forestry"";"
Maybe,msfd,marine strategy framework directive,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-08-03,59,,No,,,,,"msfd +> ?""marine strategy framework directive"";"
Maybe,nrmp,national rangeland management policy,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-10-05,58,,No,,,,,"nrmp +> ?""national rangeland management policy"";"
Maybe,nip,national implementation plan,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-08-04,56,,Yes,National Indicative Programme,Ambiguous,https://unterm.un.org/unterm2/en/view/ee619fc0-f1cb-450a-b19b-11264d84bb64,"The dictionary also has ""nip"" - check it is not a word people type.","nip +> ?""national implementation plan"";"
Maybe,hhs,health human services,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2023-09-18,56,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/28458305-84f0-4e04-862f-fc1128472d37,,"hhs +> ?""health human services"";"
Maybe,mmt,million metric tons,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-02-20,56,,No,,,,,"mmt +> ?""million metric tons"";"
Maybe,mta,material transfer agreement,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-09-25,55,,Yes,Material Transfer Agreement,Matches,https://unterm.un.org/unterm2/en/view/fa774ff4-b7fd-4b2a-a1ed-530e88776220,,"mta +> ?""material transfer agreement"";"
Maybe,luc,land use change,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-02-21,55,,Yes,Land Use Change,Matches,https://unterm.un.org/unterm2/en/view/9fd21e6e-c8da-412a-bf68-729498a896d8,"The dictionary also has ""luc"" - check it is not a word people type.","luc +> ?""land use change"";"
Maybe,its,intelligent transport systems,"only the long name was searched, not the acronym",1 - Best picks,No,Yes,Yes,2023-10-31,54,2,Yes,Integrated Training Service,Ambiguous,https://unterm.un.org/unterm2/en/view/5facd319-dcc1-41c1-a57e-74a224a86c82,Also an everyday English word.,"its +> ?""intelligent transport systems"";"
Maybe,mac,marginal abatement cost,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-03-31,54,,Yes,Mining Association of Canada,Ambiguous,https://unterm.un.org/unterm2/en/view/4565246b-2955-4f6d-baeb-5ca352c9fb33,"The dictionary also has ""mac"" - check it is not a word people type.","mac +> ?""marginal abatement cost"";"
Maybe,cesr,center economic social rights,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2026-06-14,53,,Yes,Space Radiation Studies Centre,Ambiguous,https://unterm.un.org/unterm2/en/view/53d04db9-c5e4-48e0-b9b5-e532a5278301,,"cesr +> ?""center economic social rights"";"
Maybe,gcca,global climate change alliance,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-08-05,53,,Yes,Global Climate Change Alliance,Matches,https://unterm.un.org/unterm2/en/view/06712cf4-e6fe-44df-899c-f0089515dc49,,"gcca +> ?""global climate change alliance"";"
Maybe,ocsla,outer continental shelf lands act,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-02-19,51,,No,,,,,"ocsla +> ?""outer continental shelf lands act"";"
Maybe,depa,danish environmental protection agency,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-05-24,49,,No,,,,"The dictionary also has ""depa"" - check it is not a word people type.","depa +> ?""danish environmental protection agency"";"
Maybe,jrc,joint research centre,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-03-18,49,,Yes,Jamaica Railway Corporation,Ambiguous,https://unterm.un.org/unterm2/en/view/9e4fbaf9-a7dd-4354-bd62-b39aa0447e3a,,"jrc +> ?""joint research centre"";"
Maybe,ndpc,national development planning commission,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-03-16,49,,No,,,,,"ndpc +> ?""national development planning commission"";"
Maybe,nmfs,national marine fisheries service,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-10-01,48,,Yes,National Marine Fisheries Service,Matches,https://unterm.un.org/unterm2/en/view/b067c7ac-e432-4ca4-8bb6-e10cfd11d810,,"nmfs +> ?""national marine fisheries service"";"
Maybe,nei,national emissions inventory,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-04-16,47,,Yes,not elsewhere identified,Ambiguous,https://unterm.un.org/unterm2/en/view/9ed2d081-5bb3-4a7d-95ab-905589090cea,"The dictionary also has ""nei"" - check it is not a word people type.","nei +> ?""national emissions inventory"";"
Maybe,fec,final energy consumption,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-02-20,46,,Yes,fractional effective concentration,Ambiguous,https://unterm.un.org/unterm2/en/view/c8dbc456-1f7b-4825-a52f-586354ab52f8,,"fec +> ?""final energy consumption"";"
Maybe,bac,building adaptive capacity,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-12-11,45,,Yes,Basic Access Control,Ambiguous,https://unterm.un.org/unterm2/en/view/36600c7a-b092-40ad-b040-cb7748f49437,"The dictionary also has ""bac"" - check it is not a word people type.","bac +> ?""building adaptive capacity"";"
Maybe,sis,safeguards information system,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-11-22,45,,Yes,Solar Imaging Suite,Ambiguous,https://unterm.un.org/unterm2/en/view/30ebd604-d275-440c-a55a-471982f4582a,"The dictionary also has ""sis"" - check it is not a word people type.","sis +> ?""safeguards information system"";"
Maybe,mea,metropolitan electricity authority,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-09-08,45,,Yes,minimum equal amount,Ambiguous,https://unterm.un.org/unterm2/en/view/80eb9685-f1c8-4f98-998a-4c00098ac680,,"mea +> ?""metropolitan electricity authority"";"
Maybe,ippc,integrated pollution prevention control,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-02-29,44,,Yes,International Plant Protection Convention,Ambiguous,https://unterm.un.org/unterm2/en/view/b65fd394-7a03-45bf-9965-3c02bb574fe7,,"ippc +> ?""integrated pollution prevention control"";"
Maybe,usgs,united states geological survey,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-08-24,44,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/a1e06df8-9f05-420c-a602-09a5de718a0c,,"usgs +> ?""united states geological survey"";"
Maybe,mard,ministry agriculture rural development,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-03-16,44,,No,,,,,"mard +> ?""ministry agriculture rural development"";"
Maybe,nea,national environment agency,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-07-25,43,,Yes,Nuclear Energy Agency,Ambiguous,https://unterm.un.org/unterm2/en/view/042182d9-6c1c-4b0b-a308-c3b5e4f35527,"The dictionary also has ""nea"" - check it is not a word people type.","nea +> ?""national environment agency"";"
Maybe,dcd,deputy country director,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-05-18,42,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/12867b38-e1ff-423b-b527-9e18efc114b2,,"dcd +> ?""deputy country director"";"
Maybe,amap,arctic monitoring assessment programme,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-01-13,42,,Yes,Arctic Monitoring and Assessment Program,Ambiguous,https://unterm.un.org/unterm2/en/view/f33edfb3-3574-477d-84e9-e88c22573584,,"amap +> ?""arctic monitoring assessment programme"";"
Maybe,jtf,just transition fund,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-11-07,42,,Yes,joint task force,Ambiguous,https://unterm.un.org/unterm2/en/view/e7809563-783f-463e-87fe-09c7c8ead274,,"jtf +> ?""just transition fund"";"
Maybe,gem,gas emissions model,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-03-02,41,,Yes,Gender Empowerment Measure,Ambiguous,https://unterm.un.org/unterm2/en/view/f11d9065-24f2-4032-8802-a995f9c26e62,"The dictionary also has ""gem"" - check it is not a word people type.","gem +> ?""gas emissions model"";"
Maybe,cii,confederation indian industry,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-01-10,41,,Yes,Chartered Insurance Institute,Ambiguous,https://unterm.un.org/unterm2/en/view/975e7fde-78fe-478d-850e-efdb2f7725db,,"cii +> ?""confederation indian industry"";"
Maybe,npas,national protected areas system,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-07-15,40,,No,,,,,"npas +> ?""national protected areas system"";"
