acronym	expansion	passages	status	note	rule_line
eei	edison electric institute	36	ready		"eei +> ?""edison electric institute"";"
it	information technology	36	review	ISO-2 prefix, Italy	"it +> ?""information technology"";"
has	high alternative scenario	36	ready		"has +> ?""high alternative scenario"";"
unhcr	united nations high commissioner refugees	36	ready		"unhcr +> ?""united nations high commissioner refugees"";"
irp	integrated resource plan	36	ready		"irp +> ?""integrated resource plan"";"
opm	office prime minister	36	ready		"opm +> ?""office prime minister"";"
ttbis	trinidad tobago biodiversity information system	36	ready		"ttbis +> ?""trinidad tobago biodiversity information system"";"
bbs	bangladesh bureau statistics	36	ready		"bbs +> ?""bangladesh bureau statistics"";"
rss	royal scientific society	35	ready		"rss +> ?""royal scientific society"";"
esmr	environmental social management report	35	ready		"esmr +> ?""environmental social management report"";"
mpwt	ministry public works transport	35	ready		"mpwt +> ?""ministry public works transport"";"
pame	protected area management effectiveness	35	ready		"pame +> ?""protected area management effectiveness"";"
ibrd	international bank reconstruction development	35	ready		"ibrd +> ?""international bank reconstruction development"";"
dna	designated national authority	35	ready		"dna +> ?""designated national authority"";"
aai	alliance automotive innovation	35	ready		"aai +> ?""alliance automotive innovation"";"
weee	waste electrical electronic equipment	35	ready		"weee +> ?""waste electrical electronic equipment"";"
cfo	chief financial officer	35	ready		"cfo +> ?""chief financial officer"";"
des	data exchange standard	34	ready		"des +> ?""data exchange standard"";"
nbis	national biodiversity information system	34	ready		"nbis +> ?""national biodiversity information system"";"
dpwh	department public works highways	34	ready		"dpwh +> ?""department public works highways"";"
ungc	united nations global compact	34	ready		"ungc +> ?""united nations global compact"";"
ress	rechargeable energy storage system	34	ready		"ress +> ?""rechargeable energy storage system"";"
si	strategic interventions	34	ready		"si +> ?""strategic interventions"";"
fpa	federal power act	34	ready		"fpa +> ?""federal power act"";"
gam	greater amman municipality	34	ready		"gam +> ?""greater amman municipality"";"
scap	species conservation action plan	34	ready		"scap +> ?""species conservation action plan"";"
hcc	high council climate	34	ready		"hcc +> ?""high council climate"";"
fata	federally administered tribal areas	33	ready		"fata +> ?""federally administered tribal areas"";"
gcrmn	global coral reef monitoring network	33	ready		"gcrmn +> ?""global coral reef monitoring network"";"
scrap	students challenging regulatory agency procedures	33	ready		"scrap +> ?""students challenging regulatory agency procedures"";"
cres	center renewable energy sources	33	ready		"cres +> ?""center renewable energy sources"";"
pedia	promoting energy efficiency developing innovative approaches	33	ready		"pedia +> ?""promoting energy efficiency developing innovative approaches"";"
tii	transport infrastructure ireland	33	ready		"tii +> ?""transport infrastructure ireland"";"
ice	information council environment	33	ready		"ice +> ?""information council environment"";"
nrdc	natural resources defense council	33	ready		"nrdc +> ?""natural resources defense council"";"
lca	life cycle assessment	33	review	ISO code for Saint Lucia	"lca +> ?""life cycle assessment"";"
cdkn	climate development knowledge network	33	ready		"cdkn +> ?""climate development knowledge network"";"
neam	national energy accounting model	33	ready		"neam +> ?""national energy accounting model"";"
mfa	ministry foreign affairs	33	ready		"mfa +> ?""ministry foreign affairs"";"
hipcs	high impact programme corporate sector	32	ready		"hipcs +> ?""high impact programme corporate sector"";"
ria	regulatory impact analysis	32	ready		"ria +> ?""regulatory impact analysis"";"
ecr	effective carbon rate	32	ready		"ecr +> ?""effective carbon rate"";"
rmd	report methods data	32	ready		"rmd +> ?""report methods data"";"
bnef	bloomberg new energy finance	32	ready		"bnef +> ?""bloomberg new energy finance"";"
siec	standard international energy product classification	32	ready		"siec +> ?""standard international energy product classification"";"
nba	national biodiversity authority	32	ready		"nba +> ?""national biodiversity authority"";"
hies	household income expenditure survey	32	ready		"hies +> ?""household income expenditure survey"";"
mie	multilateral implementing entity	32	ready		"mie +> ?""multilateral implementing entity"";"
cga	country gender assessment	32	ready		"cga +> ?""country gender assessment"";"
usa	united states america	32	review	geo synonym -> united states	"usa +> ?""united states america"";"
gsn	gcos surface network	32	ready		"gsn +> ?""gcos surface network"";"
ginr	greenland institute natural resources	32	ready		"ginr +> ?""greenland institute natural resources"";"
tgo	thailand greenhouse gas management organization	32	review	ISO code for Togo	"tgo +> ?""thailand greenhouse gas management organization"";"
agu	american geophysical union	32	ready		"agu +> ?""american geophysical union"";"
rea	rural electrifi cation authorit	32	ready		"rea +> ?""rural electrifi cation authorit"";"
pmo	project management office	32	ready		"pmo +> ?""project management office"";"
bcm	billion cubic meters	31	ready		"bcm +> ?""billion cubic meters"";"
rdp	rural development programme	31	ready		"rdp +> ?""rural development programme"";"
toe	tons oil equivalent	31	ready		"toe +> ?""tons oil equivalent"";"
gcip	global cleantech innovation programme	31	ready		"gcip +> ?""global cleantech innovation programme"";"
tcap	tuvalu coastal adaptation project	31	ready		"tcap +> ?""tuvalu coastal adaptation project"";"
mlgrd	ministry local government rural development	31	ready		"mlgrd +> ?""ministry local government rural development"";"
tpes	total primary energy supply	31	ready		"tpes +> ?""total primary energy supply"";"
fiz	far internationale zusammenarbeit	31	ready		"fiz +> ?""far internationale zusammenarbeit"";"
dpp	development production plan	31	ready		"dpp +> ?""development production plan"";"
redd	reducing emissions deforestation forest degradation	31	ready		"redd +> ?""reducing emissions deforestation forest degradation"";"
hnv	high nature value	31	ready		"hnv +> ?""high nature value"";"
usp	university south pacific	31	ready		"usp +> ?""university south pacific"";"
tar	tribal authority rule	31	ready		"tar +> ?""tribal authority rule"";"
trif	total recordable injury frequency	31	ready		"trif +> ?""total recordable injury frequency"";"
unsd	united nations statistics division	31	ready		"unsd +> ?""united nations statistics division"";"
eerc	estonian environmental research centre	31	ready		"eerc +> ?""estonian environmental research centre"";"
gbf	global biodiversity framework	31	ready		"gbf +> ?""global biodiversity framework"";"
nyserda	new york state energy research development authority	31	ready		"nyserda +> ?""new york state energy research development authority"";"
mrc	mekong river commission	31	ready		"mrc +> ?""mekong river commission"";"
shgc	solar heat gain coefficient	31	ready		"shgc +> ?""solar heat gain coefficient"";"
ilri	international livestock research institute	31	ready		"ilri +> ?""international livestock research institute"";"
bwdb	bangladesh water development board	31	ready		"bwdb +> ?""bangladesh water development board"";"
depc	department environmental protection conservation	31	ready		"depc +> ?""department environmental protection conservation"";"
nies	national institute environmental studies	31	ready		"nies +> ?""national institute environmental studies"";"
ltir	lost time incident rate	31	ready		"ltir +> ?""lost time incident rate"";"
ovl	ongc videsh ltd	31	ready		"ovl +> ?""ongc videsh ltd"";"
kmp	key management personnel	30	ready		"kmp +> ?""key management personnel"";"
pc	project coordinator	30	ready		"pc +> ?""project coordinator"";"
irri	international rice research institute	30	ready		"irri +> ?""international rice research institute"";"
oraf	operational risk assessment framework	30	ready		"oraf +> ?""operational risk assessment framework"";"
unga	united nations general assembly	30	ready		"unga +> ?""united nations general assembly"";"
ccac	climate clean air coalition	30	ready		"ccac +> ?""climate clean air coalition"";"
nie	national implementing entity	30	ready		"nie +> ?""national implementing entity"";"
cds	current development scenario	30	ready		"cds +> ?""current development scenario"";"
gcpf	global climate partnership fund	29	ready		"gcpf +> ?""global climate partnership fund"";"
dict	department information communications technology	29	ready		"dict +> ?""department information communications technology"";"
me	ministry energy	29	review	ISO-2 prefix, Mexico	"me +> ?""ministry energy"";"
anzbs	aotearoa new zealand biodiversity strategy	29	ready		"anzbs +> ?""aotearoa new zealand biodiversity strategy"";"
pmt	project management team	29	ready		"pmt +> ?""project management team"";"
cdc	centers disease control	29	ready		"cdc +> ?""centers disease control"";"
usda	united states department agriculture	29	ready		"usda +> ?""united states department agriculture"";"
agm	annual general meeting	29	ready		"agm +> ?""annual general meeting"";"
gpg	good practice guidance	29	ready		"gpg +> ?""good practice guidance"";"
ornl	oak ridge national laboratory	29	ready		"ornl +> ?""oak ridge national laboratory"";"
paf	priority action framework	29	ready		"paf +> ?""priority action framework"";"
kea	korea energy agency	29	ready		"kea +> ?""korea energy agency"";"
asme	american society mechanical engineers	28	ready		"asme +> ?""american society mechanical engineers"";"
sida	swedish international development cooperation agency	28	ready		"sida +> ?""swedish international development cooperation agency"";"
opis	oil price information service	28	ready		"opis +> ?""oil price information service"";"
nfa	national forestry authority	28	ready		"nfa +> ?""national forestry authority"";"
vmme	vice ministry mines energy	28	ready		"vmme +> ?""vice ministry mines energy"";"
iata	international air transport association	28	ready		"iata +> ?""international air transport association"";"
lhda	lesotho highlands development authority	28	ready		"lhda +> ?""lesotho highlands development authority"";"
npa	national planning authority	28	ready		"npa +> ?""national planning authority"";"
weo	world energy outlook	28	ready		"weo +> ?""world energy outlook"";"
tesda	technical education skills development authority	28	ready		"tesda +> ?""technical education skills development authority"";"
lac	latin america caribbean	28	ready		"lac +> ?""latin america caribbean"";"
po	policy objectives	28	review	ISO-2 prefix, Poland	"po +> ?""policy objectives"";"
cgiar	consultative group international agricultural research	28	ready		"cgiar +> ?""consultative group international agricultural research"";"
rri	rights resources initiative	28	ready		"rri +> ?""rights resources initiative"";"
epi	environmental performance index	28	ready		"epi +> ?""environmental performance index"";"
ieg	independent evaluation group	28	ready		"ieg +> ?""independent evaluation group"";"
nes	national environment service	28	ready		"nes +> ?""national environment service"";"
mec	ministry education culture	28	ready		"mec +> ?""ministry education culture"";"
aecd	auxiliary emission control device	28	ready		"aecd +> ?""auxiliary emission control device"";"
gao	government accountability office	28	ready		"gao +> ?""government accountability office"";"
iaasb	international auditing assurance standards board	28	ready		"iaasb +> ?""international auditing assurance standards board"";"
eqas	evaluation quality assurance system	28	ready		"eqas +> ?""evaluation quality assurance system"";"
dmh	department meteorology hydrology	27	ready		"dmh +> ?""department meteorology hydrology"";"
hcenr	higher council environment natural resources	27	ready		"hcenr +> ?""higher council environment natural resources"";"
vfdm	volta flood drought management	27	ready		"vfdm +> ?""volta flood drought management"";"
jreeef	jordan renewable energy energy efficiency fund	27	ready		"jreeef +> ?""jordan renewable energy energy efficiency fund"";"
pop	persistent organic pollutants	27	ready		"pop +> ?""persistent organic pollutants"";"
mtpp	moldavian thermal power plant	27	ready		"mtpp +> ?""moldavian thermal power plant"";"
daf	department administration finance	27	ready		"daf +> ?""department administration finance"";"
csrd	corporate sustainability reporting directive	27	ready		"csrd +> ?""corporate sustainability reporting directive"";"
mlnr	ministry lands natural resources	27	ready		"mlnr +> ?""ministry lands natural resources"";"
uk	united kingdom	27	review	geo synonym -> united kingdom	"uk +> ?""united kingdom"";"
dcp	director certification program	27	ready		"dcp +> ?""director certification program"";"
dbsa	development bank southern africa	27	ready		"dbsa +> ?""development bank southern africa"";"
teu	treaty european union	27	ready		"teu +> ?""treaty european union"";"
mm	mitigation measures	27	review	ISO-2 prefix, Myanmar	"mm +> ?""mitigation measures"";"
lged	local government engineering department	27	ready		"lged +> ?""local government engineering department"";"
ots	organiza tion tropical studies	27	ready		"ots +> ?""organiza tion tropical studies"";"
iso	international standards organization	27	ready		"iso +> ?""international standards organization"";"
menr	ministry energy natural resources	27	ready		"menr +> ?""ministry energy natural resources"";"
nfp	national focal point	27	ready		"nfp +> ?""national focal point"";"
adcp	annual data collection plan	27	ready		"adcp +> ?""annual data collection plan"";"
nccas	national climate change adaptation strategy	27	ready		"nccas +> ?""national climate change adaptation strategy"";"
uwa	uganda wildlife authority	27	ready		"uwa +> ?""uganda wildlife authority"";"
leg	least developed countries expert group	27	ready		"leg +> ?""least developed countries expert group"";"
unops	united nations office project services	27	ready		"unops +> ?""united nations office project services"";"
hcmr	hellenic centre marine research	27	ready		"hcmr +> ?""hellenic centre marine research"";"
ged	general economics division	27	ready		"ged +> ?""general economics division"";"
saicm	strategic approach international chemicals management	27	ready		"saicm +> ?""strategic approach international chemicals management"";"
iwg	interagency working group	27	ready		"iwg +> ?""interagency working group"";"
snap	significant new alternatives policy	27	ready		"snap +> ?""significant new alternatives policy"";"
ffgs	flash flood guidance system	26	ready		"ffgs +> ?""flash flood guidance system"";"
nstda	national science technology development agency	26	ready		"nstda +> ?""national science technology development agency"";"
jva	jordan valley authority	26	ready		"jva +> ?""jordan valley authority"";"
ioc	indian ocean commission	26	ready		"ioc +> ?""indian ocean commission"";"
tof	trees outside forests	26	ready		"tof +> ?""trees outside forests"";"
lto	lead technical officer	26	ready		"lto +> ?""lead technical officer"";"
ocs	outer continental shelf	26	ready		"ocs +> ?""outer continental shelf"";"
ds	divisional secretariat	26	ready		"ds +> ?""divisional secretariat"";"
af-terg	adaptation fund technical evaluation reference group	26	ready		"af-terg +> ?""adaptation fund technical evaluation reference group"";"
fm	forest management	26	ready		"fm +> ?""forest management"";"
emff	european maritime fisheries fund	26	ready		"emff +> ?""european maritime fisheries fund"";"
jci	jordan chamber industry	26	ready		"jci +> ?""jordan chamber industry"";"
ared	accelerated renewable energy development	26	ready		"ared +> ?""accelerated renewable energy development"";"
ama	accreditation master agreement	26	ready		"ama +> ?""accreditation master agreement"";"
sia	social impact assessments	26	ready		"sia +> ?""social impact assessments"";"
decc	department environment climate change	26	ready		"decc +> ?""department environment climate change"";"
wra	water resources authority	26	ready		"wra +> ?""water resources authority"";"
scc	social cost carbon	26	ready		"scc +> ?""social cost carbon"";"
mnr	ministry natural resources	26	ready		"mnr +> ?""ministry natural resources"";"
hri	heat rate improvements	26	ready		"hri +> ?""heat rate improvements"";"
tag	technical advisory group	26	ready		"tag +> ?""technical advisory group"";"
wto	world trade organization	26	ready		"wto +> ?""world trade organization"";"
nssd	national strategy sustainable development	26	ready		"nssd +> ?""national strategy sustainable development"";"
bsrn	baseline surface radiation network	26	ready		"bsrn +> ?""baseline surface radiation network"";"
iba	important bird areas	26	ready		"iba +> ?""important bird areas"";"
csc	carbon stock change	26	ready		"csc +> ?""carbon stock change"";"
bev	battery electric vehicles	25	ready		"bev +> ?""battery electric vehicles"";"
phmsa	pipeline hazardous materials safety administration	25	ready		"phmsa +> ?""pipeline hazardous materials safety administration"";"
flpma	federal land policy management act	25	ready		"flpma +> ?""federal land policy management act"";"
swds	solid waste disposal sites	25	ready		"swds +> ?""solid waste disposal sites"";"
mrv	monitoring reporting verification	25	ready		"mrv +> ?""monitoring reporting verification"";"
srep	scaling up renewable energy programme	25	ready		"srep +> ?""scaling up renewable energy programme"";"
trifr	total recordable injury frequency rate	25	ready		"trifr +> ?""total recordable injury frequency rate"";"
dede	department alternative energy development efficiency	25	ready		"dede +> ?""department alternative energy development efficiency"";"
gaw	global atmosphere watch	25	ready		"gaw +> ?""global atmosphere watch"";"
unisdr	united nations international strategy disaster reduction	25	ready		"unisdr +> ?""united nations international strategy disaster reduction"";"
kmd	kenya meteorological department	25	ready		"kmd +> ?""kenya meteorological department"";"
fra	forest resources assessment	25	review	ISO code for France	"fra +> ?""forest resources assessment"";"
hud	housing urban development	25	ready		"hud +> ?""housing urban development"";"
cin	corporate identity number	25	ready		"cin +> ?""corporate identity number"";"
memd	ministry energy mineral development	25	ready		"memd +> ?""ministry energy mineral development"";"
npsc	national project steering committee	25	ready		"npsc +> ?""national project steering committee"";"
cco	climate change office	25	ready		"cco +> ?""climate change office"";"
cepf	critical ecosystem partnership fund	25	ready		"cepf +> ?""critical ecosystem partnership fund"";"
icar	indian council agricultural research	25	ready		"icar +> ?""indian council agricultural research"";"
gmsl	global mean sea level	25	ready		"gmsl +> ?""global mean sea level"";"
sbrefa	small business regulatory enforcement fairness act	25	ready		"sbrefa +> ?""small business regulatory enforcement fairness act"";"
bof	basic oxygen furnace	25	ready		"bof +> ?""basic oxygen furnace"";"
mbta	migratory bird treaty act	25	ready		"mbta +> ?""migratory bird treaty act"";"
otec	ocean thermal energy conversion	25	ready		"otec +> ?""ocean thermal energy conversion"";"
dc	direct current	25	ready		"dc +> ?""direct current"";"
cbp	customs border protection	25	ready		"cbp +> ?""customs border protection"";"
czma	coastal zone management act	25	ready		"czma +> ?""coastal zone management act"";"
nmeee	national mission enhanced energy efficiency	25	ready		"nmeee +> ?""national mission enhanced energy efficiency"";"
lpd	land productivity dynamics	25	ready		"lpd +> ?""land productivity dynamics"";"
amoc	atlantic meridional overturning circulation	24	ready		"amoc +> ?""atlantic meridional overturning circulation"";"
ncp	nature s contributions people	24	ready		"ncp +> ?""nature s contributions people"";"
iaea	international atomic energy agency	24	ready		"iaea +> ?""international atomic energy agency"";"
mbt	mechanical biological treatment	24	ready		"mbt +> ?""mechanical biological treatment"";"
ceb	central electricity board	24	ready		"ceb +> ?""central electricity board"";"
can	calcium ammonium nitrate	24	review	ISO code for Canada	"can +> ?""calcium ammonium nitrate"";"
rie	regional implementing entity	24	ready		"rie +> ?""regional implementing entity"";"
pat	perform achieve trade	24	ready		"pat +> ?""perform achieve trade"";"
bbnj	biodiversity beyond national jurisdiction	24	ready		"bbnj +> ?""biodiversity beyond national jurisdiction"";"
cer	clean energy regulator	24	ready		"cer +> ?""clean energy regulator"";"
bccsap	bangladesh climate change strategy action plan	24	ready		"bccsap +> ?""bangladesh climate change strategy action plan"";"
fe	final evaluation	24	ready		"fe +> ?""final evaluation"";"
odi	overseas development institute	24	ready		"odi +> ?""overseas development institute"";"
pic	prior informed consent	24	ready		"pic +> ?""prior informed consent"";"
ndvi	normalized difference vegetation index	24	ready		"ndvi +> ?""normalized difference vegetation index"";"
awb	alto wangki bocay	24	ready		"awb +> ?""alto wangki bocay"";"
ra	reference approach	24	ready		"ra +> ?""reference approach"";"
lvw	loaded vehicle weight	24	ready		"lvw +> ?""loaded vehicle weight"";"
amrut	atal mission rejuvenation urban transformation	24	ready		"amrut +> ?""atal mission rejuvenation urban transformation"";"
ami	advanced metering infrastructure	24	ready		"ami +> ?""advanced metering infrastructure"";"
cpcb	central pollution control board	24	ready		"cpcb +> ?""central pollution control board"";"
rsda	rural self help development association	24	ready		"rsda +> ?""rural self help development association"";"
mla	mineral leasing act	24	ready		"mla +> ?""mineral leasing act"";"
eif	environmental investment fund	24	ready		"eif +> ?""environmental investment fund"";"
pwd	public works department	24	ready		"pwd +> ?""public works department"";"
giss	goddard institute space studies	24	ready		"giss +> ?""goddard institute space studies"";"
cm	cropland management	24	review	ISO-2 prefix, Cameroon	"cm +> ?""cropland management"";"
goos	global ocean observing system	24	ready		"goos +> ?""global ocean observing system"";"
ahs	american housing survey	24	ready		"ahs +> ?""american housing survey"";"
ncsd	national council sustainable development	24	ready		"ncsd +> ?""national council sustainable development"";"
cait	climate analysis indicators tool	24	ready		"cait +> ?""climate analysis indicators tool"";"
ppe	personal protective equipment	24	ready		"ppe +> ?""personal protective equipment"";"
ndf	nordic development fund	24	ready		"ndf +> ?""nordic development fund"";"
kff	katse fish farm	24	ready		"kff +> ?""katse fish farm"";"
lta	land transport authority	24	ready		"lta +> ?""land transport authority"";"
napcc	national action plan climate change	24	ready		"napcc +> ?""national action plan climate change"";"
pact	protected areas conservation trust	24	ready		"pact +> ?""protected areas conservation trust"";"
smartd	southern mountains association rural transformation development	24	ready		"smartd +> ?""southern mountains association rural transformation development"";"
ams	american meteorological society	24	ready		"ams +> ?""american meteorological society"";"
aps	announced pledges scenario	23	ready		"aps +> ?""announced pledges scenario"";"
cida	canadian international development agency	23	ready		"cida +> ?""canadian international development agency"";"
mics	multiple indicator cluster survey	23	ready		"mics +> ?""multiple indicator cluster survey"";"
fsds	federal sustainable development strategy	23	ready		"fsds +> ?""federal sustainable development strategy"";"
acs	american community survey	23	ready		"acs +> ?""american community survey"";"
egu	electric generating unit	23	ready		"egu +> ?""electric generating unit"";"
pifs	pacific islands forum secretariat	23	ready		"pifs +> ?""pacific islands forum secretariat"";"
dbm	department budget management	23	ready		"dbm +> ?""department budget management"";"
elaw	environmental law alliance worldwide	23	ready		"elaw +> ?""environmental law alliance worldwide"";"
an	ammonium nitrate	23	review	ISO-2 prefix, Andorra	"an +> ?""ammonium nitrate"";"
itto	international tropical timber organization	23	ready		"itto +> ?""international tropical timber organization"";"
fon	fraction applied organic n	23	ready		"fon +> ?""fraction applied organic n"";"
wrc	water resources commission	23	ready		"wrc +> ?""water resources commission"";"
mcm	million cubic meters	23	ready		"mcm +> ?""million cubic meters"";"
scaqmd	south coast air quality management district	23	ready		"scaqmd +> ?""south coast air quality management district"";"
wcf	wildlife conservation forces	23	ready		"wcf +> ?""wildlife conservation forces"";"
narei	national agricultural research extension institute	23	ready		"narei +> ?""national agricultural research extension institute"";"
sne	single national entity	23	ready		"sne +> ?""single national entity"";"
dip	dissolved inorganic phosphorus	23	ready		"dip +> ?""dissolved inorganic phosphorus"";"
din	dissolved inorganic nitrogen	23	ready		"din +> ?""dissolved inorganic nitrogen"";"
wfd	water framework directive	23	ready		"wfd +> ?""water framework directive"";"
sbti	science based targets initiative	23	ready		"sbti +> ?""science based targets initiative"";"
eeas	european external action service	23	ready		"eeas +> ?""european external action service"";"
ltrc	land transport regulatory commission	23	ready		"ltrc +> ?""land transport regulatory commission"";"
iiasa	international institute applied systems analysis	23	ready		"iiasa +> ?""international institute applied systems analysis"";"
brcrn	building resilient churia region nepal	23	ready		"brcrn +> ?""building resilient churia region nepal"";"
mtt	ministry transport telecommunications	23	ready		"mtt +> ?""ministry transport telecommunications"";"
tea	thailand energy academy	23	ready		"tea +> ?""thailand energy academy"";"
nlc	national league cities	23	ready		"nlc +> ?""national league cities"";"
oecs	organisation eastern caribbean states	23	ready		"oecs +> ?""organisation eastern caribbean states"";"
nsec	north seas energy cooperation	23	ready		"nsec +> ?""north seas energy cooperation"";"
cb	capacity building	23	ready		"cb +> ?""capacity building"";"
meau	multilateral environmental agreements unit	23	ready		"meau +> ?""multilateral environmental agreements unit"";"
dhs	demographic health survey	23	ready		"dhs +> ?""demographic health survey"";"
sef	standard electronic format	23	ready		"sef +> ?""standard electronic format"";"
cac	criteria air contaminant	23	ready		"cac +> ?""criteria air contaminant"";"
nmvoc	non methane volatile organic compounds	23	ready		"nmvoc +> ?""non methane volatile organic compounds"";"
gfcs	global framework climate services	22	ready		"gfcs +> ?""global framework climate services"";"
etp	efficient territorial planning	22	ready		"etp +> ?""efficient territorial planning"";"
cpeir	climate public expenditure institutional review	22	ready		"cpeir +> ?""climate public expenditure institutional review"";"
strpp	separately transferable redeemable principal parts	22	ready		"strpp +> ?""separately transferable redeemable principal parts"";"
irfa	initial regulatory flexibility analysis	22	ready		"irfa +> ?""initial regulatory flexibility analysis"";"
gfei	global fuel economy initiative	22	ready		"gfei +> ?""global fuel economy initiative"";"
nccsc	national climate change steering committee	22	ready		"nccsc +> ?""national climate change steering committee"";"
bemip	baltic energy market interconnection plan	22	ready		"bemip +> ?""baltic energy market interconnection plan"";"
rdf	refuse derived fuel	22	ready		"rdf +> ?""refuse derived fuel"";"
unece	united nations economic commission europe	22	ready		"unece +> ?""united nations economic commission europe"";"
wcrp	world climate research programme	22	ready		"wcrp +> ?""world climate research programme"";"
ura	utilities regulatory authority	22	ready		"ura +> ?""utilities regulatory authority"";"
piw	project inception workshop	22	ready		"piw +> ?""project inception workshop"";"
anpdf	afghanistan national peace development framework	22	ready		"anpdf +> ?""afghanistan national peace development framework"";"
sgp	small grants programme	22	review	ISO code for Singapore	"sgp +> ?""small grants programme"";"
asd	assessment standards division	22	ready		"asd +> ?""assessment standards division"";"
desnz	department energy security net zero	22	ready		"desnz +> ?""department energy security net zero"";"
dfo	domestic fuel oil	22	ready		"dfo +> ?""domestic fuel oil"";"
tess	trademark electronic search system	22	ready		"tess +> ?""trademark electronic search system"";"
esif	european structural investment funds	22	ready		"esif +> ?""european structural investment funds"";"
kfs	korea forest service	22	ready		"kfs +> ?""korea forest service"";"
nrm	natural resource management	22	ready		"nrm +> ?""natural resource management"";"
ntf	national task force	22	ready		"ntf +> ?""national task force"";"
araf	acumen resilient agriculture fund	22	ready		"araf +> ?""acumen resilient agriculture fund"";"
tha	tobago house assembly	22	review	ISO code for Thailand	"tha +> ?""tobago house assembly"";"
card	consolidated admissions reporting directive	22	ready		"card +> ?""consolidated admissions reporting directive"";"
nsf	national science foundation	22	ready		"nsf +> ?""national science foundation"";"
shs	solar home systems	22	ready		"shs +> ?""solar home systems"";"
psd	prevention significant deterioration	22	ready		"psd +> ?""prevention significant deterioration"";"
frfa	final regulatory flexibility analysis	22	ready		"frfa +> ?""final regulatory flexibility analysis"";"
ohs	occupational health safety	22	ready		"ohs +> ?""occupational health safety"";"
rei	renewable energy integration	22	ready		"rei +> ?""renewable energy integration"";"
bil	bipartisan infrastructure law	22	ready		"bil +> ?""bipartisan infrastructure law"";"
ecreee	ecowas centre renewable energy energy efficiency	22	ready		"ecreee +> ?""ecowas centre renewable energy energy efficiency"";"
crc	convention rights child	22	ready		"crc +> ?""convention rights child"";"
gfanz	glasgow financial alliance net zero	22	ready		"gfanz +> ?""glasgow financial alliance net zero"";"
rec	renewable energy certificate	22	ready		"rec +> ?""renewable energy certificate"";"
sib	statistical institute belize	22	ready		"sib +> ?""statistical institute belize"";"
ngfs	network greening financial system	22	ready		"ngfs +> ?""network greening financial system"";"
fema	federal emergency management agency	22	ready		"fema +> ?""federal emergency management agency"";"
miit	ministry industry information technology	22	ready		"miit +> ?""ministry industry information technology"";"
weto	world energy transitions outlook	21	ready		"weto +> ?""world energy transitions outlook"";"
plli	ptt leadership learning institute	21	ready		"plli +> ?""ptt leadership learning institute"";"
nmsa	national mission sustainable agriculture	21	ready		"nmsa +> ?""national mission sustainable agriculture"";"
imd	india meteorological department	21	ready		"imd +> ?""india meteorological department"";"
ncar	national center atmospheric research	21	ready		"ncar +> ?""national center atmospheric research"";"
epca	energy policy conservation act	21	ready		"epca +> ?""energy policy conservation act"";"
fso	federal statistical office	21	ready		"fso +> ?""federal statistical office"";"
fmi	finnish meteorological institute	21	ready		"fmi +> ?""finnish meteorological institute"";"
mct	micronesia conservation trust	21	ready		"mct +> ?""micronesia conservation trust"";"
gvwr	gross vehicle weight rating	21	ready		"gvwr +> ?""gross vehicle weight rating"";"
mrd	ministry rural development	21	ready		"mrd +> ?""ministry rural development"";"
ncco	national climate change office	21	ready		"ncco +> ?""national climate change office"";"
crva	climate risk vulnerability assessment	21	ready		"crva +> ?""climate risk vulnerability assessment"";"
awpb	annual work plan budget	21	ready		"awpb +> ?""annual work plan budget"";"
erm	enterprise risk management	21	ready		"erm +> ?""enterprise risk management"";"
ar	afforestation reforestation	21	review	ISO-2 prefix, United Arab Emirates	"ar +> ?""afforestation reforestation"";"
cyen	caribbean youth environment network	21	ready		"cyen +> ?""caribbean youth environment network"";"
gga	global goal adaptation	21	review	already a rule in passages.sr	"gga +> ?""global goal adaptation"";"
cefc	clean energy finance corporation	21	ready		"cefc +> ?""clean energy finance corporation"";"
tec	technology executive committee	21	ready		"tec +> ?""technology executive committee"";"
emci	emergency management cook islands	21	ready		"emci +> ?""emergency management cook islands"";"
iod	indian ocean dipole	21	ready		"iod +> ?""indian ocean dipole"";"
ecbc	energy conservation building code	21	ready		"ecbc +> ?""energy conservation building code"";"
fd	forest department	21	ready		"fd +> ?""forest department"";"
gbff	global biodiversity framework fund	21	ready		"gbff +> ?""global biodiversity framework fund"";"
uaw	united auto workers	21	ready		"uaw +> ?""united auto workers"";"
dls	department livestock services	21	ready		"dls +> ?""department livestock services"";"
wspa	western states petroleum association	21	ready		"wspa +> ?""western states petroleum association"";"
atsdr	agency toxic substances disease registry	21	ready		"atsdr +> ?""agency toxic substances disease registry"";"
grs	grievance redress service	21	ready		"grs +> ?""grievance redress service"";"
icct	international council clean transportation	21	ready		"icct +> ?""international council clean transportation"";"
sbaa	standard basic assistance agreement	21	ready		"sbaa +> ?""standard basic assistance agreement"";"
dps	digital proposal submission	21	ready		"dps +> ?""digital proposal submission"";"
lms	lesotho meteorological services	21	ready		"lms +> ?""lesotho meteorological services"";"
gbv	gender based violence	21	ready		"gbv +> ?""gender based violence"";"
enrm	environment natural resources management	21	ready		"enrm +> ?""environment natural resources management"";"
fpic	free prior informed consent	21	ready		"fpic +> ?""free prior informed consent"";"
hev	hybrid electric vehicles	21	ready		"hev +> ?""hybrid electric vehicles"";"
gptf	global project task force	21	ready		"gptf +> ?""global project task force"";"
